mu,phi,sigma_h,rho
-1.1171500085640946,0.9290856349924489,0.002016518725207892,-0.9534854729818993
-1.1171500085640946,0.9121606540550393,0.002016518725207892,-0.9534854729818993
-1.1171500085640946,0.8950630343391237,0.002016518725207892,-0.9225425207669387
-1.1171500085640946,0.8938777522635927,0.002016518725207892,-0.9058007204778659
-1.1171500085640946,0.8803520565328595,0.002016518725207892,-0.8984465992500394
-1.1171500085640946,0.8700293026634341,0.002016518725207892,-0.8984465992500394
-1.1171500085640946,0.8736204588944247,0.002016518725207892,-0.8573720896843295
-1.1171500085640946,0.8723256070547817,0.002016518725207892,-0.8470257939289371
-1.1171500085640946,0.8643058908590411,0.002016518725207892,-0.8427224422111016
-1.1171500085640946,0.8923130242440535,0.002016518725207892,-0.748885518552936
-1.1165435936205204,0.8984599762155843,0.002016518725207892,-0.7473158048833223
-1.1165435936205204,0.8884721914823469,0.002016518725207892,-0.7214822199951815
-1.1165435936205204,0.8716352461657287,0.002016518725207892,-0.7040460177579503
-1.1165435936205204,0.8420682932603882,0.002016518725207892,-0.6286215401151657
-1.1165435936205204,0.8421295493409227,0.002016518725207892,-0.6426031492676544
-1.1165435936205204,0.8530319924129666,0.002016518725207892,-0.6894043733608431
-1.1165435936205204,0.8939491862795645,0.002016518725207892,-0.6583596687428199
-1.1165435936205204,0.9047271156495607,0.002016518725207892,-0.6717844238634674
-1.1165435936205204,0.9027380542193869,0.002016518725207892,-0.7068991689093622
-1.1165435936205204,0.8752670960765307,0.002016518725207892,-0.7498302201298602
-1.1165435936205204,0.8636199095804351,0.002049864506904778,-0.7016492866941981
-1.1165435936205204,0.8750572615319153,0.002049864506904778,-0.6917366175605828
-1.1165435936205204,0.8991960475145425,0.002049864506904778,-0.7274906805033723
-1.1165435936205204,0.8936943787516208,0.002049864506904778,-0.8024202559826504
-1.1165435936205204,0.9070409751083802,0.002049864506904778,-0.7833361095624812
-1.1165435936205204,0.9121296719385829,0.002049864506904778,-0.7879301592173195
-1.1165435936205204,0.934507088469839,0.002049864506904778,-0.786855978132521
-1.1165435936205204,0.9336969696307058,0.002049864506904778,-0.7548002382860076
-1.1165435936205204,0.9401715066796205,0.002049864506904778,-0.7454171646702722
-1.115702197511828,0.940466740020992,0.002049864506904778,-0.7644449130266264
-1.115702197511828,0.9356900124876789,0.0016348112023669703,-0.7799404483218936
-1.115702197511828,0.9351561175781112,0.0016348112023669703,-0.7970434623500325
-1.115702197511828,0.9241424418653463,0.0016348112023669703,-0.8507179024797575
-1.115702197511828,0.9051873913090488,0.0016348112023669703,-0.8507179024797575
-1.115702197511828,0.9083654671715626,0.0016348112023669703,-0.8605692849874313
-1.115702197511828,0.9142596115184335,0.0016348112023669703,-0.8163080857356683
-1.112591092052502,0.9236950230326278,0.0016348112023669703,-0.7756448851157134
-1.112591092052502,0.9574194630428193,0.0016348112023669703,-0.7479643014345249
-1.112591092052502,0.944776425193753,0.0016348112023669703,-0.7212037278501395
-1.112591092052502,0.9477358743808781,0.0014299501554912975,-0.7195543014027846
-1.112591092052502,0.9828364953736459,0.0014299501554912975,-0.7805024905250847
-1.112591092052502,0.9813974702614188,0.0014299501554912975,-0.8228958350406802
-1.112591092052502,0.9496499401144445,0.0014299501554912975,-0.8515530548553906
-1.112591092052502,0.9382761281844091,0.0014299501554912975,-0.8468516601286824
-1.112591092052502,0.9413585361043537,0.0014299501554912975,-0.8224993201884578
-1.112591092052502,0.9461649455468106,0.0014299501554912975,-0.8131435482309104
-1.112591092052502,0.9397386301498254,0.0014299501554912975,-0.7573983873807923
-1.112591092052502,0.9388829198428204,0.0014299501554912975,-0.8308438883101811
-1.112591092052502,0.9553201166209094,0.0014299501554912975,-0.8234009241225391
-1.112591092052502,0.9348573887859519,0.0014299501554912975,-0.7881420143580734
-1.1131139244694914,0.9542475843566933,0.0014299501554912975,-0.7488161630553767
-1.1119085946661147,0.9522867023833665,0.0014299501554912975,-0.7944055367688492
-1.1119085946661147,0.9789594151394166,0.0014299501554912975,-0.8321551758756895
-1.1119085946661147,0.9928558424945884,0.0014299501554912975,-0.8502369097043974
-1.1119085946661147,0.9873154464988275,0.0014299501554912975,-0.8502369097043974
-1.109630193945128,0.9794465692523561,0.0014299501554912975,-0.8502369097043974
-1.109630193945128,0.9610265265886593,0.0014299501554912975,-0.8167091839498102
-1.109630193945128,0.9317898947910981,0.0014299501554912975,-0.7669230207457656
-1.109630193945128,0.9280086138509481,0.0014299501554912975,-0.8129348665324521
-1.109630193945128,0.9050483329745548,0.0014299501554912975,-0.8536681178179343
-1.109630193945128,0.9085657859808994,0.0014299501554912975,-0.8418911648746886
-1.109630193945128,0.8806255050084941,0.0014299501554912975,-0.8475068773432849
-1.109630193945128,0.8962624665949189,0.0014299501554912975,-0.847701221310692
-1.109630193945128,0.9146972492403996,0.0014299501554912975,-0.847701221310692
-1.109630193945128,0.9162040331373068,0.0014299501554912975,-0.8314751375036225
-1.109630193945128,0.9001506381582685,0.001221092360063099,-0.7820716167496371
-1.1082006702828073,0.8971155870612205,0.001221092360063099,-0.7823057585298521
-1.1082006702828073,0.8826670429535173,0.001221092360063099,-0.8191808354028987
-1.1082006702828073,0.8718480088470395,0.001221092360063099,-0.7993210360193498
-1.1082006702828073,0.8731813204707036,0.001221092360063099,-0.725177608928949
-1.1082006702828073,0.8487959357127723,0.001221092360063099,-0.7323338529518821
-1.1082006702828073,0.8382263109897621,0.001221092360063099,-0.7496379104444675
-1.1082006702828073,0.8284452815195765,0.001221092360063099,-0.7738697614062063
-1.1082006702828073,0.8392554850592636,0.001221092360063099,-0.7738697614062063
-1.1082006702828073,0.8575920152600999,0.001221092360063099,-0.7886746013912171
-1.1082006702828073,0.8488956710721023,0.001221092360063099,-0.7619989518283742
-1.1083902981607547,0.826546479835768,0.001221092360063099,-0.7834375324005858
-1.1083902981607547,0.8306105944001612,0.001221092360063099,-0.7302757497515799
-1.1083902981607547,0.8398017134543838,0.001221092360063099,-0.7302757497515799
-1.1083902981607547,0.8381556353850506,0.001221092360063099,-0.648955477588761
-1.1083902981607547,0.8567894523970497,0.001221092360063099,-0.6415686026767173
-1.1083902981607547,0.8429896501542767,0.001221092360063099,-0.6353668434478522
-1.1083902981607547,0.840542503356337,0.001221092360063099,-0.5594686199621073
-1.1083902981607547,0.8244693079800037,0.001221092360063099,-0.5105103826759665
-1.1083902981607547,0.8508303676252448,0.0012589720960795986,-0.5140280000238354
-1.1083902981607547,0.8519787737569889,0.0012589720960795986,-0.4668619845302043
-1.1100279668293713,0.8462444825314935,0.0012589720960795986,-0.47703376587710994
-1.1111284705575653,0.8872577998431195,0.0012589720960795986,-0.427285423151893
-1.1111284705575653,0.8490172996415278,0.0012589720960795986,-0.3792931795254699
-1.1111284705575653,0.8617970105200932,0.0012589720960795986,-0.40367470817568657
-1.1111284705575653,0.8727897660993889,0.0012589720960795986,-0.4792637876102208
-1.1111284705575653,0.8456519451021609,0.0012589720960795986,-0.4795291241925507
-1.1111284705575653,0.8685793695216109,0.0012589720960795986,-0.5486964651175908
-1.1111284705575653,0.8577629714728389,0.0012589720960795986,-0.5108428117442356
-1.1111284705575653,0.8518424905859049,0.0012589720960795986,-0.47816030542534493
-1.1111284705575653,0.8598672725129712,0.0012589720960795986,-0.4727463301901018
-1.1088181728187123,0.8541429134143328,0.0012589720960795986,-0.5471879514514958
-1.1088181728187123,0.8527888371983735,0.0012589720960795986,-0.4857851112180791
-1.1088181728187123,0.882854880286248,0.0012589720960795986,-0.48480185788121616
-1.1088181728187123,0.866511606755646,0.0012589720960795986,-0.41165941523398825
-1.1088181728187123,0.8686866871965275,0.0012589720960795986,-0.37516105865232297
-1.1088181728187123,0.8646499980021065,0.0012589720960795986,-0.4733880466241042
-1.1088181728187123,0.8950180031053119,0.0012589720960795986,-0.4202793557417082
