mu,phi,sigma_h
-1.1156924813583344,0.9726562357067129,0.12238195809184667
-1.1277787453141914,0.9687993317168598,0.13080715232423476
-1.0152390042097619,0.9714589546015198,0.13080715232423476
-0.9339088203197052,0.9633397115485248,0.12183747377652371
-0.9619013918290581,0.9569595631769987,0.12183747377652371
-0.8453448372943204,0.9520819099035313,0.12775475466026737
-0.9141416581396034,0.952826381880371,0.12474087906166739
-0.8797537760786942,0.954120514793178,0.1240071092082706
-1.0007534278660308,0.9592560406624048,0.12002089411077453
-1.0125503737695747,0.9436689890379846,0.11617149706860468
-1.0892886178253842,0.9427952582911906,0.1147483543711159
-1.115429853020006,0.9359963418185459,0.1147483543711159
-1.157082320404015,0.9257699032375336,0.10942630666158706
-1.1669678026718968,0.9230034455578555,0.1101889127461086
-1.2568644990493016,0.943520217660843,0.10881225115490205
-1.2897375513812939,0.9284300820884808,0.10536921885587013
-1.2955365788733741,0.9316314649385297,0.10753036051462224
-1.2304357268315704,0.9345321854017011,0.11181434854880036
-1.2682760819911223,0.9366247240513912,0.10329110603060365
-1.2253270148223674,0.9555193770840643,0.11167544898246205
-1.2653969732666546,0.9617620121605848,0.10713777364409324
-1.2617313415514602,0.9628072049431798,0.1019090046115487
-1.2204676028447878,0.9563418792363034,0.11716999498344789
-1.152024601193518,0.9497518439789236,0.10112124906946308
-1.1233203212369889,0.9483904075611892,0.10322724021306914
-1.0818737597944785,0.9654994150537504,0.10652544906449828
-1.1820038739857155,0.9663515592195382,0.0976370980830993
-1.145098830371702,0.9568975440771694,0.10092719760046316
-1.0867796824611853,0.9473244559101781,0.09905211872322163
-1.0718672860858256,0.9674697797949869,0.10075587480765479
-0.9583068700231471,0.9797186613173531,0.1040714649607678
-1.173371821306555,0.960070655182786,0.10271217203820818
-1.1976796554363291,0.9622702962069023,0.10271217203820818
-0.9958566329127859,0.9713431882224299,0.11034644511471628
-1.0125854055623018,0.9557364494326919,0.1064162828848681
-1.0110304184378118,0.9619442754324469,0.1064162828848681
-0.9561800701431998,0.9733981016730484,0.10570362402919845
-1.0009409228468606,0.9778278337206386,0.10142330396456806
-0.8750851256776535,0.9691314539368323,0.10451380041090938
-0.9332635730841402,0.9672303828457127,0.10016333155153304
-0.9748865330862138,0.9626232868628264,0.10275333411823037
-0.9617474229793365,0.9342641892664059,0.10275333411823037
-0.9876912568894557,0.9458986451905483,0.09326634364259537
-0.9105325447274839,0.9400119770379315,0.09139134773758695
-0.8988330637339063,0.9524106565649613,0.09983032872057218
-0.940815032249681,0.9325604798324597,0.09653903277934195
-0.9872633337103459,0.9417616559412657,0.09630679239425612
-1.05545525909204,0.932648621744336,0.0960551749162633
-1.0802370771170036,0.9331455779186761,0.09714892746802917
-1.0075625145805616,0.9471741716886493,0.09576896115133961
-0.9738004168700098,0.9570556122017675,0.09086689026774127
-0.8530662453342901,0.9502463536958982,0.10124122977970254
-0.9178198555468333,0.9453194752147737,0.09736721119302015
