t,returns,jump_true,jump_size_true,p_jump,jump_size_hat,jump_pred,ess,resampled
298,-0.00793703,1,0.00913019,0.022392633444264946,-0.00024119200689446145,0,969.2884235102606,0
299,-0.06363022,1,-0.06741018,1.0000000000000007,-0.059999956011177476,1,1000.0,1
300,0.0177735,0,-0.0,0.02732092888027779,0.0002721114968901212,0,930.8339366699723,0
301,-0.01483861,0,0.0,0.047475875403429374,-0.0007778722755535668,0,954.8349856664213,0
302,0.00913828,0,0.0,0.01310491095460208,7.62765201990073e-05,0,977.1611680444679,0
303,-0.00278525,0,-0.0,0.011657555743422478,-8.060572436680684e-05,0,971.8481530180944,0
304,-0.00011324,0,0.0,0.016181928777663366,-6.313546202379861e-05,0,964.988048051145,0
305,-0.01002899,0,0.0,0.03559836184274535,-0.0003580900401904636,0,967.9157501077742,0
306,-0.00284456,0,0.0,0.0155864729298352,-8.206400398275886e-05,0,971.3679890245812,0
307,0.01350045,0,-0.0,0.033924680773104954,0.00037303700662122055,0,957.2206555470669,0
308,0.00632655,0,-0.0,0.01866456563684157,0.00010936182016032835,0,970.5380305045338,0
309,-0.01136046,1,-0.02918357,0.025800252699534853,-0.00030790751256797776,0,978.6539610650333,0
310,0.01227412,0,-0.0,0.03222283642335022,0.00024678132278085885,0,948.9092978168844,0
311,0.00489087,0,-0.0,0.009382626696131723,1.2062037394952153e-05,0,970.1793602496629,0
312,0.01793935,0,-0.0,0.03704739884465923,0.0005507124176040953,0,921.1321060952585,0
313,0.00488993,0,-0.0,0.01455824733800896,8.35750678263765e-05,0,963.9436133970391,0
314,0.00877988,0,-0.0,0.010139826081714732,1.6110624286095295e-05,0,950.0552285824716,0
315,-0.00246571,0,-0.0,0.009149303255135513,-5.3766420702645016e-05,0,959.9971025864797,0
316,0.00116546,0,0.0,0.010691636777110599,-4.280143880627613e-05,0,970.0992325799256,0
317,-0.00647424,0,-0.0,0.019997026147691076,-0.00016047438416175468,0,964.1462595539396,0
318,0.01039584,0,0.0,0.019412120061118497,0.00013137105820017873,0,944.8795138686609,0
319,-0.01128304,0,-0.0,0.03234311131674853,-0.000440226209240969,0,968.3490044744448,0
320,0.0083235,0,0.0,0.014925567355058417,6.602209119236091e-05,0,962.4353706323449,0
321,-0.00140651,0,-0.0,0.010560048903169915,-6.718103429815882e-05,0,970.0124546379726,0
322,0.01221247,0,0.0,0.013993214825555192,0.00011827808785862967,0,976.1330852773265,0
323,0.00800869,0,-0.0,0.019697374378685406,7.68253262291495e-05,0,968.9384896435324,0
324,0.01870646,0,-0.0,0.027143173202402303,0.0004502403294040356,0,926.9452020229129,0
325,0.00780775,0,-0.0,0.017041618621753556,0.00011459448185129174,0,969.5545874824855,0
326,-0.0152204,0,-0.0,0.05742105800945305,-0.0009608160628413286,0,923.6321950243579,0
327,-0.00016953,0,-0.0,0.018901438421600893,-1.5850753818703797e-05,0,960.4194276803706,0
328,-0.01122007,0,0.0,0.02197708872461804,-0.00026190009477420674,0,965.2066674499351,0
329,-0.0046828,0,-0.0,0.01881304291575642,-0.00014813931344735036,0,968.9202278271723,0
330,0.01561228,0,-0.0,0.01848347466850124,9.764111765028651e-05,0,960.718915402501,0
331,0.00687534,0,0.0,0.01784306281888982,5.8440939163280717e-05,0,960.8940073295913,0
332,-0.0064893,0,0.0,0.01516548404838932,-0.00010836439432372333,0,985.0137491702777,0
333,-0.00963717,0,-0.0,0.02220182306662482,-0.0002580306688090639,0,977.9718341874012,0
334,0.00082782,0,-0.0,0.009406406972802355,-4.542936359520276e-06,0,960.9494127983202,0
335,-0.0116656,0,-0.0,0.03158966586567749,-0.0004363917109196022,0,969.5742970451514,0
336,-0.0062114,0,-0.0,0.016529992557440244,-0.00015258011928019293,0,973.50750651957,0
337,0.00362009,0,0.0,0.0172661809954829,3.298979206163423e-05,0,959.2541687861981,0
338,0.01205312,0,-0.0,0.02000149717859701,0.0001410746046344384,0,954.9148438372799,0
339,0.01657784,1,0.00999022,0.024288845452838416,0.00023321725598391766,0,942.149024077761,0
340,-0.0224129,0,-0.0,0.13609448477616382,-0.0029995152819668734,0,548.8338644773705,0
341,0.00354367,0,-0.0,0.013965207057969175,-1.4349607710411332e-05,0,968.3027728652081,0
342,0.00122034,0,-0.0,0.011743874187801696,-4.394816579352614e-05,0,971.1320439069624,0
343,0.0046389,0,-0.0,0.016748654984949145,4.666419242906202e-05,0,962.9557808473016,0
344,0.0166621,0,-0.0,0.045862747023735835,0.0005248647199787607,0,928.1336241697295,0
345,-0.02013238,0,-0.0,0.10986720859100839,-0.002618272795656095,0,688.1241714699122,0
346,-0.00541103,0,0.0,0.018259077408619807,-0.00012193443087194908,0,976.5379804706353,0
347,0.00640906,0,0.0,0.014283666001001987,6.830914186230296e-05,0,964.6671863005975,0
348,-0.00383099,1,0.01148496,0.01733920303819005,-0.0001441262590066517,0,971.2579331231678,0
349,0.0205776,1,0.00531811,0.04153313389525211,0.0003934706289845841,0,867.8073243437623,0
350,0.00418357,0,0.0,0.006485941714063325,-7.811576327052187e-06,0,969.4696908043777,0
351,0.00896584,0,-0.0,0.016806236333531423,8.396563601029898e-05,0,961.6470993237334,0
352,-0.00520944,0,-0.0,0.01596949710194513,-0.00011725321854084632,0,974.230749952958,0
353,0.00863764,0,-0.0,0.005873722052784919,3.5533986650333686e-05,0,972.7234156292179,0
354,0.01118472,0,0.0,0.013687776160133532,0.0001418168479841909,0,970.0294690578386,0
355,0.00282878,0,-0.0,0.015944982657225118,1.725280230655724e-05,0,965.9777008263729,0
356,0.00284401,0,-0.0,0.013377422217252218,2.889458291243382e-05,0,970.7605183264234,0
357,0.00320343,0,-0.0,0.011219090834065587,-2.1753040578951616e-05,0,955.7003317713175,0
358,-0.00813345,0,0.0,0.025473718270268342,-0.00020361862790766662,0,973.6744072420477,0
359,-0.00097529,0,0.0,0.017041061219145757,-1.1477797986550147e-05,0,960.2701539918173,0
360,-0.00102523,0,-0.0,0.01535406611406328,-6.871052760089284e-05,0,961.3233908991126,0
361,0.00433394,0,-0.0,0.01681088914518898,1.842879651862884e-05,0,964.7332270297284,0
362,0.01049824,0,-0.0,0.019426523717621706,0.00015514938058383757,0,958.008541130719,0
363,-0.01008536,0,-0.0,0.025630011048519464,-0.0002919506270764925,0,970.0833922775996,0
364,-0.00075009,0,-0.0,0.012590434499635986,-3.576190782912518e-05,0,959.5514819843492,0
365,0.01531456,0,-0.0,0.02625552660770201,0.00033471714470947975,0,946.1900415194368,0
366,-0.00693588,0,-0.0,0.02034751115826743,-0.00018228204386383403,0,970.2442135445756,0
367,-0.01800279,1,-0.01028029,0.09557062210884198,-0.0018547537237462944,0,815.1084097780928,0
368,0.00252306,0,0.0,0.008056459533801495,-2.0276552645684244e-05,0,967.7725754896865,0
369,0.00894385,0,0.0,0.02185582138035039,0.00013248443210372887,0,961.6225195537884,0
370,0.00061426,0,0.0,0.016690499691571794,3.025417124210451e-06,0,961.7364178856001,0
371,-0.0361511,1,-0.04994071,0.9360000000000007,-0.03593182833260317,1,1000.0,1
372,0.00906794,0,-0.0,0.011613271842399717,0.00010724868713674811,0,964.1027144030267,0
373,0.0089182,0,-0.0,0.013019230961318238,6.52721528781733e-05,0,962.0294726549198,0
374,0.00604117,0,0.0,0.019767785105279302,6.735829830039476e-05,0,954.8427111308878,0
375,0.02377653,0,0.0,0.12000000000000009,0.0024403416777181784,0,1000.0,1
376,0.0120303,1,0.01358191,0.019600354915618182,0.00012444140948601477,0,968.9257880024988,0
377,-0.01953522,0,-0.0,0.07419450654876764,-0.0014738010185725244,0,812.9425555454065,0
378,0.01654254,0,-0.0,0.029024157150671852,0.00033496882452309563,0,936.3669334482215,0
379,-0.00407699,0,0.0,0.014423741776696862,-9.226148158541451e-05,0,968.934767110178,0
380,0.0015788,0,-0.0,0.01543606303536628,2.2400324009431016e-05,0,974.4485106751705,0
381,0.01359551,0,-0.0,0.027591419724989446,0.0002961684134180309,0,948.8062171433357,0
382,-0.0155226,0,-0.0,0.05090875198267783,-0.0010858144742660928,0,931.9296594528491,0
383,-0.01201647,0,0.0,0.04291760873836792,-0.000489808701482839,0,958.8110957181681,0
384,-0.0461537,1,-0.03064092,0.9970000000000008,-0.04514862412880197,1,1000.0,1
385,-0.00744136,0,-0.0,0.018964636713354924,-0.0001401946261050152,0,972.6305250355457,0
386,0.00489637,0,-0.0,0.013018593179892443,7.713897328688397e-05,0,973.4222961392682,0
387,0.00574188,0,-0.0,0.015612548920007305,2.246654787041592e-05,0,974.5607110804948,0
388,0.00326274,0,-0.0,0.014016752381039568,1.7243760295038302e-06,0,962.9438195482937,0
389,-0.01362766,0,-0.0,0.0422908382636776,-0.0006911132604046652,0,945.0395424062044,0
390,-0.02260103,0,-0.0,0.19200000000000014,-0.004860665072946171,0,1000.0,1
391,0.00104354,0,0.0,0.012528412651613969,-1.34209514728952e-05,0,967.4541683097953,0
392,-0.00421776,0,-0.0,0.022302189939544925,-0.00014093943587026954,0,971.2087944314684,0
393,0.00509386,0,-0.0,0.012965549065909278,1.860937473471783e-05,0,969.005887808668,0
394,0.00751954,0,0.0,0.012734130885935283,7.065495223099995e-05,0,967.7634453597121,0
395,0.00188241,0,-0.0,0.012666379267396525,-2.8427503631242783e-05,0,968.0233756977079,0
396,0.00810133,0,-0.0,0.018436349296311622,6.662717211483477e-05,0,961.6518533151337,0
397,0.00279211,0,0.0,0.01122293665991071,-3.834974283221101e-05,0,971.7904362686305,0
398,0.00580065,0,0.0,0.00896609427751693,4.4022044459899744e-05,0,956.5503407872343,0
399,-0.00654673,0,-0.0,0.017599215579347488,-0.00017965245021791656,0,966.4845316977216,0
400,-0.08012148,1,-0.07882537,1.0000000000000007,-0.07708347378812397,1,1000.0,1
401,0.00246776,0,0.0,0.01170951088827919,-5.0273736333273646e-06,0,964.705646357337,0
402,0.00870528,0,-0.0,0.016962795226655548,6.536389510214048e-05,0,968.8630785910625,0
403,-0.00343741,0,-0.0,0.020071184929889813,-0.00013905707574719838,0,963.4602857889887,0
404,-0.04091224,1,-0.04662391,0.9850000000000008,-0.03732617436426693,1,1000.0,1
405,-0.00215839,0,-0.0,0.011103015294739388,-6.0628080314593995e-05,0,965.5712494997722,0
406,-0.00067542,0,-0.0,0.01792695688320961,-7.831905775710867e-05,0,977.4908424011703,0
407,0.00879519,0,-0.0,0.016794964098553217,8.821452074740901e-05,0,966.0357356436961,0
408,-0.0194306,0,-0.0,0.09372504142980825,-0.0018996536470730029,0,755.234966179893,0
409,-0.01246472,0,-0.0,0.03910341359526398,-0.0006882919503059717,0,956.2148639235494,0
410,-0.01432185,0,-0.0,0.05855024462407521,-0.0008969388020306704,0,934.7057468793408,0
411,-0.02283616,0,0.0,0.19200000000000014,-0.004610820284790326,0,1000.0,1
412,-0.00628264,0,-0.0,0.021575122146811673,-0.00013247831710859413,0,966.5725104989452,0
413,0.00799434,0,-0.0,0.013782630672667833,7.933290742362735e-05,0,962.5532539269815,0
414,-0.00234884,0,-0.0,0.0166096021292158,-0.00010396016754662326,0,965.7806859431611,0
415,0.0024779,0,-0.0,0.012887665186401352,-1.9009044049936198e-05,0,967.2756082014404,0
416,0.01139217,0,-0.0,0.01700082303081947,0.0001382986792020627,0,964.4992694445965,0
417,0.01377686,0,-0.0,0.01373360096669166,0.00011740256141100862,0,960.1331292468244,0
418,-0.00019138,0,-0.0,0.010519831868993992,-4.038879888040363e-05,0,964.5736455567117,0
