t,output_gap_obs,inflation_obs,interest_rate_obs,output_gap_true,inflation_true,interest_rate_true,output_gap_filt,inflation_filt,interest_rate_filt,output_gap_filt_std,inflation_filt_std,interest_rate_filt_std,ess,resampled
24,-0.512566,-0.22699,0.289858,0.03737,-0.108492,0.111629,-0.1432315480368483,-0.03334140290065144,0.16026466631260372,0.09662073905252778,0.08223572993117853,0.07017132960279861,2000.0,1
25,-0.105138,-0.002534,0.05237,-0.058313,-0.022024,0.07375,-0.12557211507918709,-0.045013499059641846,0.07231974686830854,0.10395440005400687,0.08260662509076265,0.06959471255515959,1411.6392315434998,0
26,-0.02111,-0.059237,-0.134191,0.016567,-0.048767,0.045857,-0.11739107503524934,-0.09320342032694698,-0.058415731013115105,0.10489584926504801,0.08403314148748454,0.07141597209812489,2000.0,1
27,-0.007423,-0.232098,0.248285,0.07747,-0.032077,0.05898,-0.0013126909330906625,-0.023622121057969105,0.05797402910682187,0.10447932011814658,0.08552846209672314,0.06813642834596202,2000.0,1
28,0.219306,-0.272057,0.0714,0.00353,-0.051285,0.00316,0.053362126386349164,-0.07332956259486863,0.03894364805269801,0.10331177060793925,0.08173146894900832,0.07211804873828379,2000.0,1
29,0.123297,0.072906,-0.057158,-0.116407,-0.011867,-0.050157,0.05232421560403496,-0.01275144301427874,0.0038438867736324844,0.10679937539957055,0.08390255521007131,0.06985131943192445,1233.9847439326297,0
30,-0.137595,-0.379197,-0.070101,-0.103517,0.011086,-0.032959,-0.04702504845910584,-0.1368956306026966,-0.08441771551814116,0.10592568425796696,0.08826271632176973,0.06839021798326324,2000.0,1
31,-0.453565,0.018518,0.049231,-0.026627,-0.012294,-0.059005,-0.11079419432492958,-0.019001953896390415,-0.04814396603307425,0.10701694739864988,0.08280581286907678,0.07171859561777919,2000.0,1
32,0.091521,-0.256173,-0.272375,-0.031936,-0.184461,-0.218177,-0.11335647346346636,-0.15095520652011218,-0.18678285178530937,0.10418423461199103,0.08046050731245279,0.07186647185617942,2000.0,1
33,-0.04994,-0.044022,-0.192059,-0.161012,-0.240259,-0.306885,-0.07907486917376834,-0.0747307088746569,-0.19610410611761928,0.1050857290972113,0.08129347989613762,0.07009644413693199,1351.6822369240638,0
