t,y_obs,S_true,I_true,R_true,S_filt,I_filt,R_filt,I_q05,I_q50,I_q95,R0_mean,R0_q05,R0_q95,ess,log_lik_inc
98,29.0,501.0,51.0,9448.0,482.6801681979061,50.7638307665665,9466.556001035533,44.0,51.0,58.0,3.1028882623002145,3.0529303737903115,3.186977895143423,3054.60802738818,-3.0394418246895984
99,30.0,500.0,45.0,9455.0,482.65579999999966,49.04859999999996,9468.295599999994,42.0,49.0,56.0,3.10310415408241,3.0529303737903115,3.186977895143423,5000.000000000007,-3.464463335920608
100,25.0,498.0,45.0,9457.0,482.15032627449887,45.8884346080398,9471.961239117467,39.0,46.0,53.0,3.103286255263572,3.0529303737903115,3.186977895143423,4706.590505128917,-2.7579584163553914
101,19.0,497.0,41.0,9462.0,481.41245388464614,41.320622087220045,9477.26692402814,35.0,41.0,48.0,3.103508293074525,3.0529303737903115,3.186977895143423,4661.836957762606,-2.574222809177318
102,15.0,496.0,42.0,9462.0,480.4439575029684,36.38669309945185,9483.16934939758,30.0,36.0,43.0,3.10374399998134,3.0529303737903115,3.186977895143423,4163.986669059373,-2.7306557677401084
103,22.0,496.0,40.0,9464.0,480.5353867747658,35.420488583884,9484.044124641357,30.0,35.0,42.0,3.104106473002724,3.0529303737903115,3.186977895143423,3983.152051035467,-3.2081214593470166
104,21.0,494.0,37.0,9469.0,480.49580992723185,34.26243505462621,9485.241755018145,29.0,34.0,40.0,3.104863842194776,3.0529303737903115,3.186977895143423,3129.6062925721894,-3.0811059529059968
105,15.0,494.0,35.0,9471.0,479.85360230517074,31.151948963635515,9488.99444873119,26.0,31.0,37.0,3.104875759196786,3.0529303737903115,3.186977895143423,3080.0846231954642,-2.389809833168064
106,12.0,494.0,30.0,9476.0,478.99106838518094,27.657273712332795,9493.35165790249,22.0,28.0,33.0,3.104738296496821,3.0529303737903115,3.186977895143423,3040.971872834779,-2.413856459955526
107,7.0,494.0,24.0,9482.0,477.6917999999996,23.04479999999998,9499.263399999993,18.0,23.0,28.0,3.104307189104275,2.991721046286128,3.186977895143423,5000.000000000007,-3.2268154365762243
108,7.0,494.0,24.0,9482.0,476.88778237987566,19.651724358594528,9503.460493261526,15.0,20.0,24.0,3.104082100851689,2.991721046286128,3.186977895143423,4162.193709377,-2.541007385727836
109,9.0,494.0,24.0,9482.0,476.6445665481689,18.053925819391754,9505.301507632435,14.0,18.0,23.0,3.1040849820460767,2.991721046286128,3.186977895143423,4074.431301124192,-2.1409769189190513
110,12.0,494.0,21.0,9485.0,476.61665954549176,18.014868277586064,9505.36847217692,14.0,18.0,22.0,3.104510534758095,3.0529303737903115,3.186977895143423,3972.9328025606,-2.8896460585794506
111,11.0,493.0,20.0,9487.0,476.7019457759864,17.552914447082685,9505.74513977693,14.0,17.0,22.0,3.1047436673399242,3.0529303737903115,3.186977895143423,3305.4626126371186,-2.5878514651504974
112,8.0,493.0,15.0,9492.0,476.4041599118936,16.097530522017372,9507.49830956609,12.0,16.0,20.0,3.1051167994201556,3.0529303737903115,3.186977895143423,3147.1837958980973,-2.0723079484060136
113,14.0,493.0,14.0,9493.0,477.25519999999966,17.017599999999987,9505.727199999994,13.0,17.0,21.0,3.103599924781083,3.0529303737903115,3.186977895143423,5000.000000000007,-4.251849336506791
114,6.0,492.0,12.0,9496.0,476.5768047703547,14.9904244687589,9508.432770760886,11.0,15.0,19.0,3.1042818631192075,3.0529303737903115,3.186977895143423,4716.7427795964995,-2.0938815729153113
115,3.0,492.0,7.0,9501.0,475.2950317774819,12.26215389545045,9512.442814327063,8.0,12.0,16.0,3.1057052515942143,3.0529303737903115,3.186977895143423,3010.5759114433013,-2.72086846744347
116,0.0,492.0,7.0,9501.0,473.93839999999966,8.589199999999993,9517.472399999991,5.0,8.0,12.0,3.108905809408262,3.0529303737903115,3.186977895143423,5000.000000000007,-4.931018880148238
117,3.0,492.0,6.0,9502.0,473.3608848429666,7.485177792829889,9519.153937364203,5.0,7.0,11.0,3.109449034034932,3.0529303737903115,3.186977895143423,4749.836374510024,-1.7037502624353689
118,2.0,492.0,6.0,9502.0,472.8084810854376,6.273465001346892,9520.918053913216,4.0,6.0,9.0,3.1105861260097756,3.0529303737903115,3.186977895143423,4028.533593554223,-1.6802344895180426
119,2.0,491.0,7.0,9502.0,472.4003236890564,5.438280023353002,9522.161396287594,3.0,5.0,8.0,3.1112907840728594,3.0529303737903115,3.186977895143423,3466.7574057371007,-1.5273826804447914
120,4.0,491.0,7.0,9502.0,472.2704205184159,5.633147153161479,9522.096432328419,3.0,6.0,8.0,3.1103738058510517,3.0529303737903115,3.186977895143423,3559.750478418692,-2.0941966332513644
121,2.0,491.0,6.0,9503.0,472.1158297765808,4.980942708627762,9522.903227514787,3.0,5.0,7.0,3.1107198297899883,3.0529303737903115,3.186977895143423,3308.232594628367,-1.4576241206738327
122,4.0,491.0,6.0,9503.0,472.10084093906625,5.2195925415095665,9522.679566519426,3.0,5.0,7.0,3.1104214158517154,3.0529303737903115,3.186977895143423,2944.174945520414,-2.210676972581388
123,7.0,491.0,6.0,9503.0,472.8069999999996,6.255599999999995,9520.937399999992,4.0,6.0,9.0,3.1103052953576587,3.0529303737903115,3.186977895143423,5000.000000000007,-4.381710522810778
124,3.0,491.0,6.0,9503.0,472.7758729535275,5.812946868151439,9521.411180178318,4.0,6.0,8.0,3.1100424054237443,3.0529303737903115,3.186977895143423,4898.369219651691,-1.596131690433591
125,2.0,491.0,6.0,9503.0,472.63793163502135,5.125392866578432,9522.236675498401,3.0,5.0,7.0,3.1096830550067023,3.0529303737903115,3.186977895143423,4730.904055641345,-1.4640970492535015
