t,y_obs,abs_y,bpf_ess,bpf_max_w,bpf_entropy,bpf_rel_entropy,bpf_ll_inc,bpf_filtered_mean,apf_ess,apf_max_w,apf_entropy,apf_rel_entropy,apf_ll_inc,apf_filtered_mean
277,-0.15201242,0.15201242,821.2110230395779,0.0019475652204703313,6.783470861592204,0.9820079877803306,-0.346537642069233,-1.2713123094637147,990.9973273819708,0.0013060943859073454,6.9032067982449234,0.999341539971595,-0.006562075422564817,-1.2795400487545492
278,-0.48586558,0.48586558,821.8128575810758,0.0020137522626840596,6.781436521515467,0.98171348689045,-0.7410738277552804,-1.2768869710920532,998.7892250021553,0.0011894968221204815,6.9071497928807055,0.9999123469090931,0.0004680823367140263,-1.279775594396452
279,-0.3839701,0.3839701,837.6758659946925,0.002034399557704624,6.794597749181442,0.9836187697405852,-0.5651766653683952,-1.3082536523082005,997.4702376027282,0.0012261185026251693,6.906492869674853,0.9998172475346478,-0.0008502714511724463,-1.3034106864215866
280,0.14512534,0.14512534,848.795450731689,0.0023422444052347835,6.809473106434683,0.9857721982643926,-0.2900269291762285,-1.3861844444696323,990.7458775480005,0.0013668403077324062,6.903097295042276,0.9993256877593748,0.0022063662252289618,-1.370157549685051
281,-0.33697789,0.33697789,832.7652363330988,0.0024176313041013695,6.8013867667803725,0.9846015807008384,-0.4711598649553759,-1.421782245335317,996.960756866708,0.0012283696050074218,6.906232059611023,0.999779491410799,-0.0025754403968250017,-1.4050024270656358
282,0.35157701,0.35157701,807.3365876956195,0.0027077883197015123,6.785077220477324,0.9822405320469184,-0.4878146491703861,-1.447652525583274,997.435943806594,0.0011852948279718614,6.906468681454445,0.9998137459310977,-0.00410692571755078,-1.4298627427692099
283,-0.30900285,0.30900285,768.8267724636664,0.0031773801407734906,6.757992431070809,0.9783196071859981,-0.41613300170951817,-1.4831564399488175,996.3988632528653,0.0012259463766818748,6.905950414796191,0.9997387191478196,-0.0027258278559187943,-1.4682834133583902
284,0.09338944,0.09338944,684.4860862437174,0.004423810891070317,6.693450318213012,0.9689761793644921,-0.17988811524541504,-1.5695194806621355,990.288121007706,0.0013424465910366504,6.902872126998016,0.9992930913463338,-0.0005448000516183882,-1.5604877627008804
285,-0.03047999,0.03047999,573.1750795219936,0.0057512350041173605,6.592362800751361,0.9543422623568608,-0.1206260296262629,-1.652085759941075,989.1323128593444,0.0013515046683849263,6.902285979645255,0.9992082378260383,-0.001249917907547804,-1.6391443143448172
286,-0.41514409,0.41514409,571.5034779090229,0.005838230965685622,6.580070797136651,0.9525628125763931,-0.5918901440344628,-1.6399092318290651,998.0207846309513,0.001325479754354227,6.906757422932605,0.9998555455413182,-0.0015017712197238353,-1.6214170168671873
287,-0.68653033,0.68653033,656.0904257307483,0.004706176561479436,6.657047266016539,0.9637062978000374,-1.3680338368691007,-1.494485529946158,972.5609458828717,0.0021659170489428115,6.894333459954712,0.9980569926864284,0.00805073927652522,-1.4841685386226322
288,0.65590262,0.65590262,657.4763250800985,0.005411466609748943,6.65656631778876,0.9636366734129022,-1.1840109988281542,-1.3974123702753587,987.3559226417987,0.0016027808357160812,6.901425034834245,0.9990836032991568,0.0013725322631383818,-1.3921926201162045
289,0.18824929,0.18824929,630.3110979817782,0.005148615394214625,6.627166103836143,0.9593805565174366,-0.2865201749307129,-1.4604872024457278,992.3304786746049,0.001303116890738595,6.903898114565758,0.9994416182593909,-0.0007295598293772798,-1.451254630566791
290,-0.50226487,0.50226487,620.7219676668858,0.0053246231743529675,6.615193315161124,0.9576473178325852,-0.7786240455311253,-1.437766526388467,997.5641341824136,0.0014237358763865837,6.906536461978959,0.9998235581670234,0.0007774575551504626,-1.4310059626798388
291,-0.46012339,0.46012339,608.3388606352012,0.005136139325691049,6.599746433839058,0.9554111527256558,-0.6850708937323882,-1.4307730371623093,998.5629893266779,0.0013133749976873893,6.907042598905093,0.9998968289917258,0.001410356909067545,-1.4239385034493275
292,0.91378575,0.91378575,558.2818553833181,0.008292463851427248,6.551772273145937,0.9484661816380018,-1.9516724852933862,-1.2301716053933145,938.8880991703868,0.0026273307951747388,6.876771145710616,0.9955145872978745,0.006711946740006525,-1.2454867342005853
293,-0.35376626,0.35376626,561.3567419839875,0.008461610584694844,6.552308977771494,0.9485438775904322,-0.5292708377135504,-1.2753879736205858,996.5696931120476,0.0012182466109021588,6.9060350109931505,0.9997509657016628,-0.0031066140483364535,-1.2671883582295647
294,0.70026034,0.70026034,530.5670166657468,0.00899940700723558,6.513198359545979,0.9428820356973769,-1.2118876278421187,-1.203460161643306,990.0724353044816,0.0015359593638322993,6.902767548740178,0.9992779520928984,0.002589797397549276,-1.2022704319399786
295,0.09975194,0.09975194,538.277005553512,0.009120400860772848,6.521465319950529,0.9440788007926465,-0.31888031640517855,-1.2771569383007129,990.0933246059332,0.001320492759450737,6.902782208553678,0.9992800743182679,-0.00011649209454756004,-1.27110728545237
296,-0.7679537,0.7679537,509.2619803986353,0.009639478461843801,6.482761418782848,0.938475837224229,-1.3949179512811245,-1.194695455627374,982.9063142245242,0.0018852861362011648,6.8991039740597495,0.9987475953369815,-0.00048528268098113614,-1.177554404760971
297,-0.18033826,0.18033826,509.0024980401119,0.010275234642586036,6.484579390310951,0.938739015558533,-0.36443059855205817,-1.2601497795011256,991.2952783954834,0.0013700409122023912,6.90337303640222,0.9993656054097269,-0.0031555857028147116,-1.2393031608320366
298,0.33624655,0.33624655,500.4863455657457,0.010676170003601488,6.472870536332482,0.9370439853344463,-0.5016603626950538,-1.2881355919097093,996.2991078030515,0.00124253686048738,6.90589999832058,0.9997314206154346,-0.0014587216164452244,-1.276723730239727
299,-0.75652439,0.75652439,1000.0,0.0010000000000000002,6.907755278982141,1.0000000000000007,-1.362571948883109,-1.1948095837779198,983.068815590395,0.0017020463470326767,6.8990538585008565,0.9987403403667533,-0.0017220855422106496,-1.1820104935812037
300,-0.25858281,0.25858281,978.206779183041,0.0014267074978897992,6.896485827912771,0.9983685798621653,-0.431736720011501,-1.2483016257557922,993.1322882112748,0.001374406423065611,6.904317115195156,0.9995022748131449,-0.0028650869341717566,-1.238479158112674
301,-0.31200328,0.31200328,932.2671333657327,0.0017741684324825808,6.870784017428482,0.994647861706082,-0.4724089053963363,-1.2935240410727065,995.7444113184293,0.0012482373190618996,6.905623315967842,0.9996913667424234,-0.0011289989000546896,-1.2828595939238134
302,0.25801378,0.25801378,855.2913595049728,0.0024244822599370666,6.823499995100027,0.9878027983796026,-0.3964278214455712,-1.3461043768905723,994.2529924061995,0.001305121927332078,6.904879489891398,0.9995836868889248,-0.0019037756794055838,-1.3360072295971428
303,0.22787665,0.22787665,754.4145663451254,0.0035696716185309313,6.753098659844463,0.9776111612395652,-0.3467775102326627,-1.4017701294862839,993.53507870264,0.0012710410157254005,6.904511465692846,0.9995304099293789,-0.003169337826609997,-1.3899368860792172
304,0.24239741,0.24239741,650.0387915535433,0.004961016878806993,6.666459231166544,0.9650688193095417,-0.34172013135003176,-1.4577690652642916,994.4062359024458,0.0012306948623311627,6.9049448259622626,0.99959314525394,-0.0031906148908831256,-1.442525423923716
305,0.09896467,0.09896467,509.09654206667716,0.00794235604742881,6.525889029979882,0.9447191984110759,-0.1952326902597914,-1.5429371555331894,989.7449180471398,0.0013801501674746677,6.902604583699382,0.9992543604869115,-0.0013975733029143456,-1.5253153852412176
306,0.17058676,0.17058676,1000.0,0.0010000000000000002,6.907755278982141,1.0000000000000007,-0.21209190017052748,-1.6176052145663102,992.3513501387287,0.001369832914468994,6.903923234222201,0.999445254702118,-0.0015333492241920155,-1.5966372929556663
307,-0.46789016,0.46789016,992.817479065413,0.0010592708645457988,6.903746336908176,0.999419646193003,-0.7169976296665936,-1.5846046004654748,997.40547408469,0.0012854220759207478,6.906444281155743,0.9998102136260699,0.0005396898168275044,-1.5678379637984783
308,0.09442628,0.09442628,967.3460436105981,0.0014253538630028381,6.889761459632384,0.9973951278493461,-0.1355675915293295,-1.6636426885548738,990.6203364007692,0.0013091310055445087,6.903029681136436,0.9993158996439728,-0.003910405133807693,-1.6384883156881858
309,0.54873979,0.54873979,969.1399746084876,0.0013256087076210232,6.889713104812722,0.9973881277722285,-0.9418550837263497,-1.5796038972908264,991.4479574840902,0.0019930036788736367,6.90361822200968,0.9994010996618475,0.001985353107883725,-1.5717570316640597
310,0.011914,0.011914,924.383513022829,0.0015960432868026109,6.862208589404778,0.9934064413491976,-0.11048224447828758,-1.6664572664642991,988.6573345110688,0.0013914992268420818,6.9020385986996065,0.9991724257661639,0.0010062489493147808,-1.6467253564592461
311,-0.23810448,0.23810448,863.6267885457285,0.001922112321428448,6.820978795349937,0.9874378173331892,-0.24623029574938027,-1.7131839570266374,994.899943130296,0.0014049743981489364,6.9052128395392565,0.999631944193128,-0.0009990249472080492,-1.6907695799571418
312,-0.21527756,0.21527756,784.6894183366298,0.0024331824520976613,6.761185445837619,0.9787818434172851,-0.19601470741097327,-1.7698003644713627,994.1188914125045,0.001313291758886156,6.904818657046772,0.9995748804326784,0.00223136053590256,-1.7382522681266948
313,0.53974133,0.53974133,829.909278402286,0.00225679023866746,6.7921816553088945,0.9832690043283826,-0.9519310236880401,-1.6823240925200207,988.7498936848905,0.001828189854279376,6.9021405999725935,0.9991871919628325,-0.002730963013041432,-1.6664693006096307
314,-0.89532126,0.89532126,787.2164045647038,0.0027298702870135324,6.760702988789221,0.9787120006059937,-2.165652181569719,-1.4102016524791936,905.0958607209452,0.0037123341447306258,6.860990576481234,0.9932301159186702,0.02211327959332543,-1.4206199627157399
315,1.08332845,1.08332845,567.4068528205042,0.004467220094016301,6.510929462026129,0.942553579139752,-2.511635914078721,-1.147574484804447,831.6848866754752,0.009531565784048663,6.835309254804441,0.9895123638212657,0.03158923490147636,-1.1731942199144443
316,-0.80698011,0.80698011,1000.0,0.0010000000000000002,6.907755278982141,1.0000000000000007,-1.415607360741678,-1.0692705582148538,979.2965990686697,0.002264569213728754,6.897752008480266,0.9985518782733507,0.008573887912159073,-1.0928719391622537
317,-0.11782932,0.11782932,968.2671370738394,0.0017800946432171224,6.891516613036405,0.9976492123287661,-0.38787446487396515,-1.1412386923234457,990.0746401416376,0.0013291354652494659,6.902758165088709,0.9992765936702142,-0.0006333491863657059,-1.1644906001679995
318,-0.45714962,0.45714962,947.2120870241707,0.0017278360601537272,6.8792346376829485,0.9958712142878069,-0.6999943842227694,-1.1616179852075033,998.4751921163632,0.0012095436622571838,6.906992699172777,0.9998896052655948,-0.0013664548398315546,-1.1804805445657367
319,0.22757479,0.22757479,869.6972668434496,0.0024626085693440587,6.832771073243279,0.9891449244059053,-0.4167042718116809,-1.2214876748621823,992.6558664005398,0.0013133846715197982,6.9040789836511305,0.9994678017412991,-0.0025288077421778965,-1.2292473698977426
320,0.27394315,0.27394315,781.3128739894634,0.0032661946440103676,6.772142725680659,0.9803680721414526,-0.4387223125167825,-1.2748298651688352,994.7338563167607,0.0012288206977743659,6.90510329961622,0.9996160866650871,-0.004451220314936499,-1.2776614971800038
321,0.07962388,0.07962388,636.1193045565348,0.005535460812946458,6.6581233789408625,0.9638620811016835,-0.273768482132958,-1.3636792496016445,989.3572656305802,0.0013898617197675713,6.902404113077042,0.9992253393918895,-0.001204121417489823,-1.349572375523415
322,-0.06463131,0.06463131,1000.0,0.0010000000000000002,6.907755278982141,1.0000000000000007,-0.2224588143664361,-1.4673400835688504,989.7173060728262,0.0013805272369118164,6.902592514748742,0.9992526133273564,-0.003066838864656418,-1.4341821846820164
323,-0.83203364,0.83203364,870.4052187300742,0.0016044935926962068,6.8209080079389235,0.9874275698058588,-1.7078680798299004,-1.2737992039599688,947.4795042736095,0.004366406613564583,6.8832595677642985,0.9964538825959324,0.003602152241349188,-1.2632700269595984
324,-0.1913769,0.1913769,927.2773240790112,0.0014867496928249035,6.8598375335646,0.993063195859973,-0.33710707666318385,-1.348929081992309,992.3548597670497,0.0013332846308638064,6.903906213137539,0.9994427906477362,-0.00016583486767096645,-1.3398855059686081
325,-0.09868532,0.09868532,940.0633483035899,0.0017402826782210218,6.871899859580861,0.9948093964025664,-0.25074431907148753,-1.4236271895465353,990.2751036290786,0.00129952865075088,6.902848241614208,0.9992896335828718,-0.0046671676559242314,-1.4128921054431256
326,-0.71015549,0.71015549,895.3966947162708,0.0018086495613817844,6.8340142584718,0.9893248939008155,-1.3130460396875838,-1.312934062787102,983.6682447906368,0.0022623394478683647,6.899606971928778,0.9988204117366243,0.0007438686281684426,-1.3078011358603312
327,0.21437834,0.21437834,903.0250299840519,0.0018289306996259655,6.8429935416406815,0.9906247782780461,-0.3450772722557982,-1.3745304398937324,993.0556853002022,0.0012912727944001602,6.90426671249322,0.9994949782747036,-0.002158224184559465,-1.378543161950423
328,0.11121498,0.11121498,874.0702258411923,0.0021884375121154413,6.828141277917998,0.9884746928852017,-0.24738384072925967,-1.4419248894497363,990.6911141942136,0.0013312053669685825,6.903068458747134,0.9993215132780886,-0.006403276593490048,-1.4509714449642885
329,-0.2220998,0.2220998,820.1488823715242,0.002536418166971036,6.792497791429113,0.9833147697192297,-0.3054429311405915,-1.4951540022412275,993.7614552784062,0.0013015808986192325,6.904611068638213,0.9995448289325637,-0.0033028872245415286,-1.4938428650626816
330,-0.01057215,0.01057215,729.1635649157573,0.003615943087166407,6.72406571866747,0.9734082125240352,-0.15573428682503376,-1.573665194228745,989.0629136538242,0.0014705201663241878,6.902255795555816,0.9992038682315435,0.0005628795389815977,-1.5849198374596212
331,-0.19263374,0.19263374,645.4773220350886,0.004989985508618805,6.647312182144699,0.9622970000645688,-0.22164038220822668,-1.6312118570921976,992.741267864511,0.0013333710232933441,6.904118707594253,0.9994735523710649,-0.0020849875790505124,-1.648294741885206
332,-0.95605724,0.95605724,741.7653027682308,0.004379996556648294,6.72931788067749,0.9741685408503731,-2.347851640364663,-1.3432493926639772,909.7050777685796,0.0032463527280994528,6.860530724477803,0.9931635455228095,-0.005140813877417827,-1.3408306426553362
333,0.23994024,0.23994024,726.8326623033732,0.004261499063641232,6.7148393409753675,0.9720725575508234,-0.3586421764279919,-1.3964855267857827,993.7156366627345,0.0012732352394333325,6.904609789635099,0.9995446437778988,-0.0041160859894748825,-1.3885460239580416
334,-1.23477998,1.23477998,551.4429766438341,0.006395617976440211,6.518981674744092,0.9437192563232595,-3.039878001801198,-1.046269657363616,849.2620024677466,0.003549555489875771,6.823930939122166,0.9878651839165439,0.0014438814129125177,-1.0415137046031435
335,0.14004822,0.14004822,586.6882877312642,0.005915147734090895,6.560895300191311,0.9497868750726886,-0.4115764601720233,-1.108167333954401,990.2150549322653,0.001436098831797142,6.902838906224091,0.9992882821467338,-0.006526819712743048,-1.1041297876077711
336,-0.6449828,0.6449828,565.7954445366295,0.00625763448080997,6.531413107075558,0.9455188904778292,-1.0367410642371864,-1.0781092583199454,997.1705080899997,0.001307542870083458,6.906335248878354,0.9997944295872635,-0.0005461443595233817,-1.0766438811266728
