section,t,y_obs,h_true,h_mean,h_q05,h_q95,vol_mean,vol_q05,vol_q95,ess,parameter,true_value,post_mean,post_std,ci_low,ci_high,value
filtered,38.0,0.33818957,-0.62611158,-1.1470951590672744,-1.243983329165612,-1.0470438433142557,0.5635227466824377,0.5368740989424042,0.5924303760480991,972.3438862244769,,,,,,,
filtered,39.0,0.39092341,-0.68373022,-1.1504137171764044,-1.2515396721984489,-1.0545645955391119,0.5625884805105942,0.5348495235188061,0.5902067983781027,966.0318634705934,,,,,,,
filtered,40.0,0.01113484,-0.7925072,-1.1523629812732135,-1.2577603266678798,-1.0563867654478338,0.5620404308641831,0.5331885509025525,0.5896693147279517,996.4561863120357,,,,,,,
filtered,41.0,-0.55062529,-0.85599267,-1.1449288203927588,-1.2405561525788056,-1.0555716202973773,0.5641334679400504,0.5377948687982951,0.5899096967523212,940.8881396547263,,,,,,,
filtered,42.0,-0.43849121,-0.78726702,-1.1381355174938403,-1.2356582960387794,-1.043983020943955,0.5660528906611981,0.5391135038182371,0.5933377322589753,958.7044685357704,,,,,,,
filtered,43.0,0.27602557,-0.79177489,-1.1437736804857943,-1.2413025228514638,-1.0479781650733748,0.5644593885928142,0.5375942091907857,0.5921536803882728,979.7609377242912,,,,,,,
filtered,44.0,0.24490631,-0.73104197,-1.1500460166185174,-1.2481338105312676,-1.0563199517316328,0.5626919220682547,0.5357611112288486,0.5896890140561195,982.1936203033891,,,,,,,
filtered,45.0,-0.21768427,-0.75388353,-1.1475232534850326,-1.2440635808013134,-1.0473672811081713,0.5634021391196871,0.5368525568623009,0.5923345766076591,989.6481078460403,,,,,,,
filtered,46.0,-0.96564476,-0.77322476,-1.1353869021899907,-1.229611920338054,-1.029910808791565,0.5668313562833333,0.5407458113558763,0.5975272411124286,823.5341322471538,,,,,,,
filtered,47.0,-0.25628866,-0.99709488,-1.137258468909558,-1.2329661032987869,-1.0369672942628014,0.5663011730393381,0.539839691198188,0.5954227347524393,984.8393273850825,,,,,,,
